ref	value	footprint	Voltage	Color
ANT1	ANTENNA	FR05		
C1	10u	SM0805	12	
C2	1u	SM0402_c	5	
C3	4u7	SM0805	3.3	
C4	47p	SM0402_c	5	
C5	47p	SM0402_c	5	
C6	22u	SM0805	3.3	
C7	12p	SM0402_c	3.3	
C8	22p	SM0402_c	3.3	
C9	1u	SM0402_c	3.3	
C10	1u	SM0402_c	3.3	
C11	12p	SM0402_c	3.3	
C12	22p	SM0402_c	3.3	
C13	1n	SM0402_c	3.3	
C14	1u	SM0402_c	3.3	
C15	100n	SM0402_c	3.3	
C16	100n	SM0402_c	3.3	
C17	100n	SM0402_c	3.3	
C18	100n	SM0402_c	3.3	
C19	100n	SM0402_c	3.3	
C20	100n	SM0402_c	3.3	
C21	100n	SM0402_c	3.3	
C22	220p	SM0402_c	3.3	
CON1	USB-MICRO-B	conn_usb_B_micro_smd		
D1	LOK	LED-0603	~1.6	red
D2	L2	LED-0603	2	green
D3	L1	LED-0603	2	green
D4	L0	LED-0603	2	Green
J2	XBEE	XBee		
j9	JTAG	pin_socket_2mm_7		
L1	2u2	SM1206		
P1	CONN_2	PIN_ARRAY_2X1		
R1	1k5	SM0402_r		
R2	33	SM0402_r		
R3	33	SM0402_r		
R4	100k	SM0402_r		
R5	56k	SM0402_r		
R6	2k2	SM0402_r		
R7	82	SM0402_r		
R8	68	SM0402_r		
R9	68	SM0402_r		
R10	68	SM0402_r		
SW1	JS102011SCQN	SWITCH-3		
TR1	BALUN_2450BM15A0002	BALUM_2450BM15A0002		
U1	TPS76933	SOT23-5	3.3	
U2	TPS62172	wson	3.3	
U3	CC2538	QFN-56+1		
X1	32MHZ	ABM8		
X2	32.768KHz	ABS07		
